E0,26/09/15,Liverpool,Aston Villa,3,2
E0,26/09/15,Man United,Sunderland,3,0
E0,26/09/15,Newcastle,Chelsea,2,2
E0,26/09/15,Southampton,Swansea,3,1
E0,26/09/15,Stoke,Bournemouth,2,1
E0,26/09/15,Tottenham,Man City,4,1
E0,26/09/15,West Ham,Norwich,2,2
E0,27/09/15,Watford,Crystal Palace,0,1
E0,28/09/15,West Brom,Everton,2,3
E0,03/10/15,Aston Villa,Stoke,0,1
E0,03/10/15,Bournemouth,Watford,1,1
E0,03/10/15,Chelsea,Southampton,1,3
E0,03/10/15,Crystal Palace,West Brom,2,0
E0,03/10/15,Man City,Newcastle,6,1
E0,03/10/15,Norwich,Leicester,1,2
E0,03/10/15,Sunderland,West Ham,2,2
E0,04/10/15,Arsenal,Man United,3,0
E0,04/10/15,Everton,Liverpool,1,1
E0,04/10/15,Swansea,Tottenham,2,2
E0,17/10/15,Chelsea,Aston Villa,2,0
E0,17/10/15,Crystal Palace,West Ham,1,3
E0,17/10/15,Everton,Man United,0,3
E0,17/10/15,Man City,Bournemouth,5,1
E0,17/10/15,Southampton,Leicester,2,2
E0,17/10/15,Tottenham,Liverpool,0,0
E0,17/10/15,Watford,Arsenal,0,3
E0,17/10/15,West Brom,Sunderland,1,0
E0,18/10/15,Newcastle,Norwich,6,2
E0,19/10/15,Swansea,Stoke,0,1
E0,24/10/15,Arsenal,Everton,2,1
E0,24/10/15,Aston Villa,Swansea,1,2
E0,24/10/15,Leicester,Crystal Palace,1,0
E0,24/10/15,Norwich,West Brom,0,1
E0,24/10/15,Stoke,Watford,0,2
E0,24/10/15,West Ham,Chelsea,2,1
E0,25/10/15,Bournemouth,Tottenham,1,5
E0,25/10/15,Liverpool,Southampton,1,1
E0,25/10/15,Man United,Man City,0,0
E0,25/10/15,Sunderland,Newcastle,3,0
E0,31/10/15,Chelsea,Liverpool,1,3
E0,31/10/15,Crystal Palace,Man United,0,0
E0,31/10/15,Man City,Norwich,2,1
E0,31/10/15,Newcastle,Stoke,0,0
E0,31/10/15,Swansea,Arsenal,0,3
E0,31/10/15,Watford,West Ham,2,0
E0,31/10/15,West Brom,Leicester,2,3
E0,01/11/15,Everton,Sunderland,6,2
E0,01/11/15,Southampton,Bournemouth,2,0
E0,02/11/15,Tottenham,Aston Villa,3,1
E0,07/11/15,Bournemouth,Newcastle,0,1
E0,07/11/15,Leicester,Watford,2,1
E0,07/11/15,Man United,West Brom,2,0
E0,07/11/15,Norwich,Swansea,1,0
E0,07/11/15,Stoke,Chelsea,1,0
E0,07/11/15,Sunderland,Southampton,0,1
E0,07/11/15,West Ham,Everton,1,1
E0,08/11/15,Arsenal,Tottenham,1,1
E0,08/11/15,Aston Villa,Man City,0,0
E0,08/11/15,Liverpool,Crystal Palace,1,2
E0,21/11/15,Chelsea,Norwich,1,0
E0,21/11/15,Everton,Aston Villa,4,0
E0,21/11/15,Man City,Liverpool,1,4
E0,21/11/15,Newcastle,Leicester,0,3
E0,21/11/15,Southampton,Stoke,0,1
E0,21/11/15,Swansea,Bournemouth,2,2
E0,21/11/15,Watford,Man United,1,2
E0,21/11/15,West Brom,Arsenal,2,1
E0,22/11/15,Tottenham,West Ham,4,1
E0,23/11/15,Crystal Palace,Sunderland,0,1
E0,28/11/15,Aston Villa,Watford,2,3
E0,28/11/15,Bournemouth,Everton,3,3
E0,28/11/15,Crystal Palace,Newcastle,5,1
E0,28/11/15,Leicester,Man United,1,1
E0,28/11/15,Man City,Southampton,3,1
E0,28/11/15,Sunderland,Stoke,2,0
E0,29/11/15,Liverpool,Swansea,1,0
E0,29/11/15,Norwich,Arsenal,1,1
E0,29/11/15,Tottenham,Chelsea,0,0
E0,29/11/15,West Ham,West Brom,1,1
E0,05/12/15,Arsenal,Sunderland,3,1
E0,05/12/15,Chelsea,Bournemouth,0,1
E0,05/12/15,Man United,West Ham,0,0
E0,05/12/15,Southampton,Aston Villa,1,1
E0,05/12/15,Stoke,Man City,2,0
E0,05/12/15,Swansea,Leicester,0,3
E0,05/12/15,Watford,Norwich,2,0
E0,05/12/15,West Brom,Tottenham,1,1
E0,06/12/15,Newcastle,Liverpool,2,0
E0,07/12/15,Everton,Crystal Palace,1,1
E0,12/12/15,Bournemouth,Man United,2,1
E0,12/12/15,Crystal Palace,Southampton,1,0
E0,12/12/15,Man City,Swansea,2,1
E0,12/12/15,Norwich,Everton,1,1
E0,12/12/15,Sunderland,Watford,0,1
E0,12/12/15,West Ham,Stoke,0,0
E0,13/12/15,Aston Villa,Arsenal,0,2
E0,13/12/15,Liverpool,West Brom,2,2
E0,13/12/15,Tottenham,Newcastle,1,2
E0,14/12/15,Leicester,Chelsea,2,1
E0,19/12/15,Chelsea,Sunderland,3,1
E0,19/12/15,Everton,Leicester,2,3
E0,19/12/15,Man United,Norwich,1,2
E0,19/12/15,Newcastle,Aston Villa,1,1
E0,19/12/15,Southampton,Tottenham,0,2
E0,19/12/15,Stoke,Crystal Palace,1,2
E0,19/12/15,West Brom,Bournemouth,1,2
E0,20/12/15,Swansea,West Ham,0,0
E0,20/12/15,Watford,Liverpool,3,0
E0,21/12/15,Arsenal,Man City,2,1
E0,26/12/15,Aston Villa,West Ham,1,1
E0,26/12/15,Bournemouth,Crystal Palace,0,0
E0,26/12/15,Chelsea,Watford,2,2
E0,26/12/15,Liverpool,Leicester,1,0
E0,26/12/15,Man City,Sunderland,4,1
E0,26/12/15,Newcastle,Everton,0,1
E0,26/12/15,Southampton,Arsenal,4,0
E0,26/12/15,Stoke,Man United,2,0
E0,26/12/15,Swansea,West Brom,1,0
E0,26/12/15,Tottenham,Norwich,3,0
E0,28/12/15,Arsenal,Bournemouth,2,0
E0,28/12/15,Crystal Palace,Swansea,0,0
E0,28/12/15,Everton,Stoke,3,4
E0,28/12/15,Man United,Chelsea,0,0
E0,28/12/15,Norwich,Aston Villa,2,0
E0,28/12/15,Watford,Tottenham,1,2
E0,28/12/15,West Brom,Newcastle,1,0
E0,28/12/15,West Ham,Southampton,2,1
E0,29/12/15,Leicester,Man City,0,0
E0,30/12/15,Sunderland,Liverpool,0,1
E0,02/01/16,Arsenal,Newcastle,1,0
E0,02/01/16,Leicester,Bournemouth,0,0
E0,02/01/16,Man United,Swansea,2,1
E0,02/01/16,Norwich,Southampton,1,0
E0,02/01/16,Sunderland,Aston Villa,3,1
E0,02/01/16,Watford,Man City,1,2
E0,02/01/16,West Brom,Stoke,2,1
E0,02/01/16,West Ham,Liverpool,2,0
E0,03/01/16,Crystal Palace,Chelsea,0,3
E0,03/01/16,Everton,Tottenham,1,1
E0,12/01/16,Aston Villa,Crystal Palace,1,0
E0,12/01/16,Bournemouth,West Ham,1,3
E0,12/01/16,Newcastle,Man United,3,3
E0,13/01/16,Chelsea,West Brom,2,2
E0,13/01/16,Liverpool,Arsenal,3,3
E0,13/01/16,Man City,Everton,0,0
E0,13/01/16,Southampton,Watford,2,0
E0,13/01/16,Stoke,Norwich,3,1
E0,13/01/16,Swansea,Sunderland,2,4
E0,13/01/16,Tottenham,Leicester,0,1
E0,16/01/16,Aston Villa,Leicester,1,1
E0,16/01/16,Bournemouth,Norwich,3,0
E0,16/01/16,Chelsea,Everton,3,3
E0,16/01/16,Man City,Crystal Palace,4,0
E0,16/01/16,Newcastle,West Ham,2,1
E0,16/01/16,Southampton,West Brom,3,0
E0,16/01/16,Tottenham,Sunderland,4,1
E0,17/01/16,Liverpool,Man United,0,1
E0,17/01/16,Stoke,Arsenal,0,0
E0,18/01/16,Swansea,Watford,1,0
E0,23/01/16,Crystal Palace,Tottenham,1,3
E0,23/01/16,Leicester,Stoke,3,0
E0,23/01/16,Man United,Southampton,0,1
E0,23/01/16,Norwich,Liverpool,4,5
E0,23/01/16,Sunderland,Bournemouth,1,1
E0,23/01/16,Watford,Newcastle,2,1
E0,23/01/16,West Brom,Aston Villa,0,0
E0,23/01/16,West Ham,Man City,2,2
E0,24/01/16,Arsenal,Chelsea,0,1
E0,24/01/16,Everton,Swansea,1,2
E0,02/02/16,Arsenal,Southampton,0,0
E0,02/02/16,Crystal Palace,Bournemouth,1,2
E0,02/02/16,Leicester,Liverpool,2,0
E0,02/02/16,Man United,Stoke,3,0
E0,02/02/16,Norwich,Tottenham,0,3
E0,02/02/16,Sunderland,Man City,0,1
E0,02/02/16,West Brom,Swansea,1,1
E0,02/02/16,West Ham,Aston Villa,2,0
E0,03/02/16,Everton,Newcastle,3,0
E0,03/02/16,Watford,Chelsea,0,0
E0,06/02/16,Aston Villa,Norwich,2,0
E0,06/02/16,Liverpool,Sunderland,2,2
E0,06/02/16,Man City,Leicester,1,3
E0,06/02/16,Newcastle,West Brom,1,0
E0,06/02/16,Southampton,West Ham,1,0
E0,06/02/16,Stoke,Everton,0,3
E0,06/02/16,Swansea,Crystal Palace,1,1
E0,06/02/16,Tottenham,Watford,1,0
E0,07/02/16,Bournemouth,Arsenal,0,2
E0,07/02/16,Chelsea,Man United,1,1
E0,13/02/16,Bournemouth,Stoke,1,3
E0,13/02/16,Chelsea,Newcastle,5,1
E0,13/02/16,Crystal Palace,Watford,1,2
E0,13/02/16,Everton,West Brom,0,1
E0,13/02/16,Norwich,West Ham,2,2
E0,13/02/16,Sunderland,Man United,2,1
E0,13/02/16,Swansea,Southampton,0,1
E0,14/02/16,Arsenal,Leicester,2,1
E0,14/02/16,Aston Villa,Liverpool,0,6
E0,14/02/16,Man City,Tottenham,1,2
E0,27/02/16,Leicester,Norwich,1,0
E0,27/02/16,Southampton,Chelsea,1,2
E0,27/02/16,Stoke,Aston Villa,2,1
E0,27/02/16,Watford,Bournemouth,0,0
E0,27/02/16,West Brom,Crystal Palace,3,2
E0,27/02/16,West Ham,Sunderland,1,0
E0,28/02/16,Tottenham,Swansea,2,1
E0,28/02/16,Man United,Arsenal,3,2
E0,01/03/16,Aston Villa,Everton,1,3
E0,01/03/16,Bournemouth,Southampton,2,0
E0,01/03/16,Leicester,West Brom,2,2
E0,01/03/16,Norwich,Chelsea,1,2
E0,01/03/16,Sunderland,Crystal Palace,2,2
E0,02/03/16,Arsenal,Swansea,1,2
E0,02/03/16,Liverpool,Man City,3,0
E0,02/03/16,Man United,Watford,1,0
E0,02/03/16,Stoke,Newcastle,1,0
E0,02/03/16,West Ham,Tottenham,1,0
E0,05/03/16,Chelsea,Stoke,1,1
E0,05/03/16,Everton,West Ham,2,3
E0,05/03/16,Man City,Aston Villa,4,0
E0,05/03/16,Newcastle,Bournemouth,1,3
E0,05/03/16,Southampton,Sunderland,1,1
E0,05/03/16,Swansea,Norwich,1,0
E0,05/03/16,Tottenham,Arsenal,2,2
E0,05/03/16,Watford,Leicester,0,1
E0,06/03/16,Crystal Palace,Liverpool,1,2
E0,06/03/16,West Brom,Man United,1,0
E0,12/03/16,Bournemouth,Swansea,3,2
E0,12/03/16,Norwich,Man City,0,0
E0,12/03/16,Stoke,Southampton,1,2
E0,13/03/16,Aston Villa,Tottenham,0,2
E0,14/03/16,Leicester,Newcastle,1,0
E0,19/03/16,Chelsea,West Ham,2,2
E0,19/03/16,Crystal Palace,Leicester,0,1
E0,19/03/16,Everton,Arsenal,0,2
E0,19/03/16,Swansea,Aston Villa,1,0
E0,19/03/16,Watford,Stoke,1,2
E0,19/03/16,West Brom,Norwich,0,1
E0,20/03/16,Man City,Man United,0,1
E0,20/03/16,Newcastle,Sunderland,1,1
E0,20/03/16,Southampton,Liverpool,3,2
E0,20/03/16,Tottenham,Bournemouth,3,0
E0,02/04/16,Arsenal,Watford,4,0
E0,02/04/16,Aston Villa,Chelsea,0,4
E0,02/04/16,Bournemouth,Man City,0,4
E0,02/04/16,Liverpool,Tottenham,1,1
E0,02/04/16,Norwich,Newcastle,3,2
E0,02/04/16,Stoke,Swansea,2,2
E0,02/04/16,Sunderland,West Brom,0,0
E0,02/04/16,West Ham,Crystal Palace,2,2
E0,03/04/16,Leicester,Southampton,1,0
E0,03/04/16,Man United,Everton,1,0
E0,09/04/16,Aston Villa,Bournemouth,1,2
E0,09/04/16,Crystal Palace,Norwich,1,0
E0,09/04/16,Man City,West Brom,2,1
E0,09/04/16,Southampton,Newcastle,3,1
E0,09/04/16,Swansea,Chelsea,1,0
E0,09/04/16,Watford,Everton,1,1
E0,09/04/16,West Ham,Arsenal,3,3
E0,10/04/16,Liverpool,Stoke,4,1
E0,10/04/16,Sunderland,Leicester,0,2
E0,10/04/16,Tottenham,Man United,3,0
E0,13/04/16,Crystal Palace,Everton,0,0
E0,16/04/16,Chelsea,Man City,0,3
E0,16/04/16,Everton,Southampton,1,1
E0,16/04/16,Man United,Aston Villa,1,0
E0,16/04/16,Newcastle,Swansea,3,0
E0,16/04/16,Norwich,Sunderland,0,3
E0,16/04/16,West Brom,Watford,0,1
E0,17/04/16,Arsenal,Crystal Palace,1,1
E0,17/04/16,Bournemouth,Liverpool,1,2
E0,17/04/16,Leicester,West Ham,2,2
E0,18/04/16,Stoke,Tottenham,0,4
E0,19/04/16,Newcastle,Man City,1,1
E0,20/04/16,Liverpool,Everton,4,0
E0,20/04/16,Man United,Crystal Palace,2,0
E0,20/04/16,West Ham,Watford,3,1
E0,21/04/16,Arsenal,West Brom,2,0
E0,23/04/16,Aston Villa,Southampton,2,4
E0,23/04/16,Bournemouth,Chelsea,1,4
E0,23/04/16,Liverpool,Newcastle,2,2
E0,23/04/16,Man City,Stoke,4,0
E0,24/04/16,Leicester,Swansea,4,0
E0,24/04/16,Sunderland,Arsenal,0,0
E0,25/04/16,Tottenham,West Brom,1,1
E0,30/04/16,Arsenal,Norwich,1,0
E0,30/04/16,Everton,Bournemouth,2,1
E0,30/04/16,Newcastle,Crystal Palace,1,0
E0,30/04/16,Stoke,Sunderland,1,1
E0,30/04/16,Watford,Aston Villa,3,2
E0,30/04/16,West Brom,West Ham,0,3
E0,01/05/16,Man United,Leicester,1,1
E0,01/05/16,Southampton,Man City,4,2
E0,01/05/16,Swansea,Liverpool,3,1
E0,02/05/16,Chelsea,Tottenham,2,2
E0,07/05/16,Aston Villa,Newcastle,0,0
E0,07/05/16,Bournemouth,West Brom,1,1
E0,07/05/16,Crystal Palace,Stoke,2,1
E0,07/05/16,Leicester,Everton,3,1
E0,07/05/16,Norwich,Man United,0,1
E0,07/05/16,Sunderland,Chelsea,3,2
E0,07/05/16,West Ham,Swansea,1,4
E0,08/05/16,Liverpool,Watford,2,0
E0,08/05/16,Man City,Arsenal,2,2
E0,08/05/16,Tottenham,Southampton,1,2
E0,10/05/16,West Ham,Man United,3,2
E0,11/05/16,Liverpool,Chelsea,1,1
E0,11/05/16,Norwich,Watford,4,2
E0,11/05/16,Sunderland,Everton,3,0
E0,15/05/16,Arsenal,Aston Villa,4,0
E0,15/05/16,Chelsea,Leicester,1,1
E0,15/05/16,Everton,Norwich,3,0
E0,15/05/16,Newcastle,Tottenham,5,1
E0,15/05/16,Southampton,Crystal Palace,4,1
E0,15/05/16,Stoke,West Ham,2,1
E0,15/05/16,Swansea,Man City,1,1
E0,15/05/16,Watford,Sunderland,2,2
E0,15/05/16,West Brom,Liverpool,1,1
E0,17/05/16,Man United,Bournemouth,3,1
